กราฟฟิค แอนด์ ปริ้นติ้งเซ็นเตอร์ (บจก)
กุลวงศ์ (บจก)
เซ็นเตอร์ คอนเทนเนอร์ (บจก)
ท.ไทยเยนเนอร์ราล (1975) (บจก)
ไทยอ๊อฟเซท (บจก)
บางกอกไกด์ (หจก) 
สยามพรหมประทาน (บจก)
แสงอินเตอร์ ลามิเนต (บจก)
อินเตอร์อิ๊งค์ (บจก)
เอช แอนด์ ที คอร์ปอเรชั่น (บจก)
ไอด้า แปซิฟิค (บจก)  กระดาษ 
แมกซ์ไซท์ เนทเวิร์ค (บจก)  ซอฟต์แวร์ 
เว็ลธ์ แมเนจเม้นท์ ซิสเท็ม (บจก)  ซอฟต์แวร์ 
สยามเวบ (บจก)  ซอฟต์แวร์ 
ออฟฟิส ออฟ ซิสเต็มส์ อินทีเกรชั่น (บจก)  ซอฟต์แวร์ 
อัลฟ่า ออฟฟิช ออโตเมชั่น (บจก)  ซอฟต์แวร์ 
อาร์ แอนด์ ดี คอมพิวเตอร์ ซิสเท็ม (บจก)  ซอฟต์แวร์ 
อินเตอร์เนชั่นแนล รีเสริช คอร์ปปอร์เรชั่น (บจก)  ซอฟต์แวร์ 
อินฟอร์เมชั่น เทคโนโลยี โปรวายเดอร์ (บจก)  ซอฟต์แวร์ 
อี โฟว์ เอเชีย (บจก)  ซอฟต์แวร์ 
เอ็กซ์ทรีม ซิสเต็มส์ (บจก)  ซอฟต์แวร์ 
เอ๊กเปอร์ท คอมมิวนิเคชั่น (บจก)  ซอฟต์แวร์ 
เอ็ม.ไอ.เอส (บจก)  ซอฟต์แวร์ 
เอ็มไพร์ไลน์ คอมพิวเตอร์ (บจก)  ซอฟต์แวร์ 
เฮดเวย์ เทคโนโลยี (บจก)  ซอฟต์แวร์ 
โฮสซิ่งคิทส์ (บจก)  ซอฟต์แวร์ 
พี.เอส. เจนเนอเรชั่น (บจก)  ทำความสะอาด 
คอนซัลแทนท์ ออฟ เทคโนโลยี (บจก)  ที่ปรึกษา 
ไซท์ เพรพพาเรชั่น แมเนจเมนท์ (บจก)  ที่ปรึกษา 
องค์การโทรศัพท์แห่งประเทศไทย (รัฐวิสาหกิจ)  โทรคมนาคม 
การประปานครหลวง (กองควบคุมคุณภาพน้ำ) (รัฐวิสาหกิจ)  น้ำประปา 
กระสอบเกษตร (บจก)  พลาสติก 
กุลสิริ พลาสแพค (บจก)  พลาสติก 
เกษมพลาสติก อินดัสทรีส์ (บจก)  พลาสติก 
คอนเทล (ประเทศไทย) (บจก)  พลาสติก 
คอบร้า อินเตอร์เนชั่นแนล (บจก)  พลาสติก 
จุลพัฒน์พลาสติก (บมจ)  พลาสติก 
เจียมคอสเมติก แพคเกจจิ้ง (บจก)  พลาสติก 
เซ็นจูรี่ อินโนแอ็ค (บจก)  พลาสติก 
ไทยกิจ เทรดดิ้ง (บจก)  พลาสติก 
ไทยพลาสติกและเคมีภัณฑ์ (บมจ)  พลาสติก 
บิลเลี่ยน เอ็นเตอร์ไพรส์ (บจก)  พลาสติก 
บุญณรงค์ อุตสาหกรรมพลาสติก (บจก)  พลาสติก 
พอนเท็กซ์ (ประเทศไทย) (บจก)  พลาสติก 
ฟิวเจอร์ แพค (บจก)  พลาสติก 
ยูนีคแพ็ค (บจก)  พลาสติก 
ยูเนี่ยนพลาสติก (บจก)  พลาสติก 
เรดิคอน (บจก)  พลาสติก 
วี.พี.พลาสติก โปรดักส์ (1993) (บจก)  พลาสติก 
เวิลด์ไวด์ บรัช (บจก)  พลาสติก 
สมาคมอุตสาหกรรม พลาสติกไทย (สมาคม)  พลาสติก 
สหจิตต์วัฒนาอุตสาหกรรมพลาสติก (บจก)  พลาสติก 
เสถียรพลาสติค แอนด์ ไฟเบอร์ (บจก)  พลาสติก 
อาภากรอุตสาหกรรม (บจก)  พลาสติก 
อินเตอร์พลาสท์ คอร์ปอเรชั่น (ประเทศไทย) (บจก)  พลาสติก 
เอ็น.อาร์.รามา (บจก)  พลาสติก 
เอส.บี.พลาสเทค (บจก)  พลาสติก 
ไอ.เอ็น.พรีซิชั่น (บจก)  พลาสติก 
เขามหาชัยพาราวู้ด (บจก)  เฟอร์นิเจอร์ 
เค ซี แอล อินเตอร์เทรด (บจก)  เฟอร์นิเจอร์ 
เคหะอุปกรณ์อุตสาหกรรม (บจก)  เฟอร์นิเจอร์ 
เจริญเฟอร์นิเจอร์ (หจก)  เฟอร์นิเจอร์ 
ช้างม่อยเฟอร์นิมาร์ท (บจก)  เฟอร์นิเจอร์ 
ซิตี้วู้ด (บจก)  เฟอร์นิเจอร์ 
ซี เอ็ม ดี วู้ดเด้นท์ โปรดักส์ (บจก)  เฟอร์นิเจอร์ 
เซ้าเทอร์นเบสท์ (บจก)  เฟอร์นิเจอร์ 
ดีไซน์ ออลเทอร์เนทีฟ (บจก)  เฟอร์นิเจอร์ 
ถปณีย์ (บจก)  เฟอร์นิเจอร์ 
ท้อปแล็บ ดีไซน์ แอนด์ เทคโนโลยี (บจก)  เฟอร์นิเจอร์ 
บี เอ็น เอส อุตสาหกรรมไม้ (บจก)  เฟอร์นิเจอร์ 
แปลนครีเอชั่นส์ (บจก)  เฟอร์นิเจอร์ 
พิโคทีอินเตอร์แนชชั่นแนล (บจก)  เฟอร์นิเจอร์ 
พิณ อินเตอร์เนชั่นแนล (บจก)  เฟอร์นิเจอร์ 
พิณ อินเตอร์วู้ด (บจก)  เฟอร์นิเจอร์ 
พี พี พาราวูด (บจก)  เฟอร์นิเจอร์ 
โพเดียมโฮลดิ้งกรุ๊ป (บจก)  เฟอร์นิเจอร์ 
แมทเทล กรุงเทพ (บจก)  เฟอร์นิเจอร์ 
ลานนาวู๊ดเด้นโปรดักส์ (บจก)  เฟอร์นิเจอร์ 
วี.ซี.แบมบูอินดัสทรี (บจก)  เฟอร์นิเจอร์ 
วู้ดเวลล์มานูแฟ็คเจอริ่ง (บจก)  เฟอร์นิเจอร์ 
ศรีไทยออโต้ซีทส์ อินดัสตรี (บจก)  เฟอร์นิเจอร์ 
ศาลา-ท่าน้ำ (บจก)  เฟอร์นิเจอร์ 
สยามชิโตเซะ (บจก)  เฟอร์นิเจอร์ 
สหพงษ์เจริญ พาราวู๊ด (หจก)  เฟอร์นิเจอร์ 
สินทองดีพาราวู้ด (บจก)  เฟอร์นิเจอร์ 
สุภาพงษ์พาราวู๊ด (หจก)  เฟอร์นิเจอร์ 
อารีย์ชัย วู้ดเทค (บจก)  เฟอร์นิเจอร์ 
อินเตอร์เนชั่นแนล เฮ้าส์แวร์ อินดัสตรี (บจก)  เฟอร์นิเจอร์ 
อิวหลีอุตสาหกรรม (บจก)  เฟอร์นิเจอร์ 
อุตสาหกรรมดีสวัสดิ์ (บจก)  เฟอร์นิเจอร์ 
เอช.พี. เฟอร์นิเจอร์ เอ็มเอฟจี (บจก)  เฟอร์นิเจอร์ 
เอช.พี.เฟอร์นิเจอร์ เอ็มเอฟจี (บจก)  เฟอร์นิเจอร์ 
เอ็ม.เอส.ซี ชัยพัฒน์ (บจก)  เฟอร์นิเจอร์ 
เอส พี วี เฟอร์นิเทค (บจก)  เฟอร์นิเจอร์ 
กันยงอิเลคทริก (บมจ)  ไฟฟ้า 
คอมพิวเทค ไมโครซีสเต็ม (บจก)  ไฟฟ้า 
เค เอส ซี คอมเมอร์เชียล อินเตอร์เนต (บจก)  ไฟฟ้า 
เค.ซี.อี. อีเลคโทรนิคส์ (บมจ)  ไฟฟ้า 
เควี อิเลคทรอนิค แอสเซมบลี (บจก)  ไฟฟ้า 
ชัชวาลอิเล็คทรอนิกส์ (บจก)  ไฟฟ้า 
ซอฟต์ คอนโทรล (บจก)  ไฟฟ้า 
ซัยโจเดนกิ อินเตอร์แนชั่นแนล (บจก)  ไฟฟ้า 
ซี.วาย.เทค (บจก)  ไฟฟ้า 
ซีดีจี ซีสเต็ม (บจก)  ไฟฟ้า 
ซูมิโตโม อีเล็คตริก ซินเทอเรด คอมโพเนนท์ส (ที) (บจก)  ไฟฟ้า 
เซอร์คิท อีเลคโทรนิคส์ อินดัสตรีส์ (บมจ)  ไฟฟ้า 
ดีอีซี. เทคโนโลยี (บจก)  ไฟฟ้า 
เดลต้า อีเลคโทรนิคส์ (ประเทศไทย) จำกัด (มหาชน)  ไฟฟ้า 
ที. คิว. อินเตอร์เนชั่นแนล (บจก)  ไฟฟ้า 
ที.เอ.ที (ประเทศไทย) (บจก)  ไฟฟ้า 
ที.เอส. ทรั้งคิ้ง (บจก)  ไฟฟ้า 
ทีมโทรนิคส์ (บจก)  ไฟฟ้า 
เทคนิคคอม เอนจิเนียริ่ง (บจก)  ไฟฟ้า 
ไทเกอร์ เอ็นจิเนียริ่ง (บจก)  ไฟฟ้า 
ไทย ซี.แอล.อินดัสตรี้ เคเบิ้ล (บจก)  ไฟฟ้า 
ไทยทรานสฟอร์มเมอร์ (บจก)  ไฟฟ้า 
ไทยเทเลคอนเทนเนอร์ (บจก)  ไฟฟ้า 
นิวสตาร์ จีเนียนพาร์ท (บจก)  ไฟฟ้า 
บิทไว้ส์ (ประเทศไทย) (บจก)  ไฟฟ้า 
ผลิตไฟฟ้า (บมจ)  ไฟฟ้า 
ผลิตไฟฟ้าขนอม (บจก)  ไฟฟ้า 
พี. ซี. บี เซนเตอร์ (ประเทศไทย) (บจก)  ไฟฟ้า 
พีดี โมเดิร์นพลาส (บจก)  ไฟฟ้า 
ฟาร์-ไซท์ พัฒนา (บจก)  ไฟฟ้า 
ฟาสโก้ยามาบิชิ (บจก)  ไฟฟ้า 
ฟ้าใส สหกิจ (บจก)  ไฟฟ้า 
เฟดเดอรัล อิเลคตริค (บจก)  ไฟฟ้า 
โฟร์ ซิสเตมส์ (บจก)  ไฟฟ้า 
มัทสุชิตะ อิเล็คทรอนิค คอมโพเน็นซ์ (ประเทศไทย) (บจก)  ไฟฟ้า 
ยูนีแฟ้บ อีควิปเมนต์ (บจก)  ไฟฟ้า 
ยูเนี่ยน โซลูชั่น อิเล็คโทรนิคส์ (บจก)  ไฟฟ้า 
ยูเนี่ยน ทราโฟ (บจก)  ไฟฟ้า 
ยูไนเต็ด คอมมูนิเกชั่น อินดัสตรี (เนทเวอร์ค) (บมจ)  ไฟฟ้า 
รีโปรซอฟท์ (บจก)  ไฟฟ้า 
วีอาร์เค สเปคตรัม (บจก)  ไฟฟ้า 
เว็บคอนโทรล (บจก)  ไฟฟ้า 
เวิลด์คอม โซลูชั่น แอนด์ เซอร์วิส (บจก)  ไฟฟ้า 
สตาร์ส ไมโครอิเล็กทรอนิกส์ (ประเทศไทย) (บจก)  ไฟฟ้า 
สยาม ฮิตาชิ เอลลิเวเตอร์ (บจก)  ไฟฟ้า 
หาญเอ็นจิเนียริ่ง (บจก)  ไฟฟ้า 
เหยี่ยวเฮง (บจก)  ไฟฟ้า 
อเมริกัน อินเตอร์เนชั่นแนล อินดัสตรี (ประเทศไทย) (บจก)  ไฟฟ้า 
อาเชียนอินซูเลเตอร์ (บจก)  ไฟฟ้า 
อิน-คอน เซอร์วิส (บจก)  ไฟฟ้า 
เอ็นเนอร์ยี่ ซิสเท็มส์ (บจก)  ไฟฟ้า 
เอ็ม พี โอ เอเซีย (บจก)  ไฟฟ้า 
เอ็ม ไอ เอส (ประเทศไทย) (บจก)  ไฟฟ้า 
เอลคอม รีเซิซ (บจก)  ไฟฟ้า 
เอสเทล (บจก)  ไฟฟ้า 
แอดวานซ์ อิเลคทริค (หจก)  ไฟฟ้า 
แอดวานซ์ อิเลคทริค แอนด์ อิเลคทรอนิค (บจก)  ไฟฟ้า 
แอนซี ทรานสฟอร์เมอร์ (บจก)  ไฟฟ้า 
โกเบิล แมชีนเนอรี่ (ประเทศไทย) (บจก)  แม่พิมพ์ 
คานากาตะ (ประเทศไทย) (บจก)  แม่พิมพ์ 
แชมเปี้ยนทูลแอนด์ซัพพลาย (บจก)  แม่พิมพ์ 
เทียนอี้ โมล์แอนด์ดาย (บจก)  แม่พิมพ์ 
ฟาเซ่โมลด์ (บจก)  แม่พิมพ์ 
แมกนั่ม ทูลลิ่ง ซิสเต็มส์ (บจก)  แม่พิมพ์ 
โมลด์แอนด์ได แมนิวแฟคเจอริ่ง (บจก)  แม่พิมพ์ 
ยูเนี่ยนโลหะการ (บจก)  แม่พิมพ์ 
สหไทยพรีซิชั่น เมทอลพาร์ท (บจก)  แม่พิมพ์ 
การ์กัวร์แล็บ (บจก)  ยา 
การปิโตรเลียมแห่งประเทศไทย (โรงแยกก๊าซ) (รัฐวิสาหกิจ)  ยา 
กู๊ดโฮพ เคมีเคิล (หจก)  ยา 
เกียรติปภา (บจก)  ยา 
คริสโก้ (ประเทศไทย) (บจก)  ยา 
คริสตัล อัลลั่ม แมนูแฟคเจอร์ริ่ง (หจก)  ยา 
ควอลิตี้ โคท (หจก)  ยา 
ควอลิตี้ มิเนอรัล (บจก)  ยา 
คั้นกี่น้ำเต้าทอง (บจก)  ยา 
คิวแฟค (บจก)  ยา 
เครโด อินเตอร์เนชั่นแนล (บจก)  ยา 
ชุมชนเภสัชกรรม (บมจ)  ยา 
เชอร์วู๊ด เคมีคอล (บจก)  ยา 
ซีคิงส์ฟาร์ม (บจก)  ยา 
โซคอน เอ็นจิเนียริ่ง (บจก)  ยา 
ดอกบัวคู่ (บจก)  ยา 
ดี.ซี. เภสัชกรรม (บจก)  ยา 
ไทยดีเอนที เพนท์ (บจก)  ยา 
ไทย-มีโก้ (บจก)  ยา 
เนชั่นแนล สตาชแอนด์เคมีคอล (บจก)  ยา 
เบอร์ลิน ฟาร์มาซูติคอลอินดัสตรี (หจก)  ยา 
ไบรด์คอสเมติคส์ (บจก)  ยา 
ไบโอแมนูแฟคเจอริ่ง (บจก)  ยา 
ไบโอแลป (บจก)  ยา 
ปฐวิน (บจก)  ยา 
แปซิฟิก ไบโอเทค (บจก)  ยา 
พี เอส อินดัสเตรียล แอนด์ เคมีคอล (บจก)  ยา 
ฟลอรอลแมนูแแฟคเจอริ่งกรุ๊ป (บจก)  ยา 
เฟิสท์ ไลน์ อินเตอร์เนชั่นแนล (บจก)  ยา 
โฟกัส เทคโนโลยี (บจก)  ยา 
เมทอลไลน์ อินเตอร์เนชั่นแนล (บจก)  ยา 
ยู. บี. อุตสาหกรรมเคมี (บจก)  ยา 
